	time (ns)	angle (degree)	average angle	angle standard deviation
343	843.000	10.507	12.668	2.030
344	844.000	10.085	12.587	2.079
345	845.000	13.732	12.377	2.106
346	846.000	10.144	12.227	2.078
347	847.000	14.966	12.087	2.030
348	848.000	13.906	11.814	2.103
349	849.000	11.877	11.571	2.227
350	850.000	11.468	11.264	2.296
351	851.000	12.851	10.959	2.129
352	852.000	11.379	10.876	2.092
353	853.000	11.965	10.774	1.991
354	854.000	9.420	10.816	2.035
355	855.000	8.097	10.775	2.033
356	856.000	10.423	10.781	2.033
357	857.000	9.595	10.733	2.064
358	858.000	10.802	10.553	1.986
359	859.000	11.082	10.392	2.175
360	860.000	8.011	10.042	2.113
361	861.000	7.592	9.681	2.194
362	862.000	7.090	9.459	2.243
363	863.000	8.471	9.199	2.372
364	864.000	10.770	8.952	2.297
365	865.000	11.489	8.823	2.245
366	866.000	13.312	8.671	2.150
367	867.000	10.350	8.510	2.241
368	868.000	10.646	8.396	2.333
369	869.000	8.879	8.134	2.460
370	870.000	9.250	7.962	2.504
371	871.000	6.113	7.910	2.456
372	872.000	6.201	7.888	2.429
373	873.000	4.883	7.900	2.430
374	874.000	6.325	7.905	2.430
375	875.000	4.987	8.037	2.473
376	876.000	6.656	8.127	2.530
377	877.000	8.156	8.114	2.516
378	878.000	8.176	8.044	2.442
379	879.000	5.385	7.767	2.201
380	880.000	5.259	7.733	2.166
381	881.000	3.866	7.660	2.093
382	882.000	5.289	7.671	2.100
383	883.000	9.506	7.692	2.119
384	884.000	10.541	7.928	2.261
385	885.000	8.316	8.269	2.605
386	886.000	7.707	8.615	2.708
387	887.000	10.393	8.983	2.994
388	888.000	10.724	9.421	3.180
389	889.000	10.429	9.803	3.401
390	890.000	9.759	10.055	3.506
391	891.000	6.372	10.303	3.586
392	892.000	9.502	10.723	3.601
393	893.000	8.826	11.051	3.453
394	894.000	9.144	11.394	3.119
395	895.000	9.785	11.634	2.849
396	896.000	12.021	11.798	2.839
397	897.000	14.715	11.975	2.896
398	898.000	13.527	12.333	2.976
399	899.000	15.528	12.656	2.890
400	900.000	15.933	12.876	2.920
401	901.000	16.220	12.912	2.898
402	902.000	14.458	13.034	2.853
403	903.000	14.372	13.092	2.798
404	904.000	15.894	13.370	2.422
405	905.000	13.437	13.532	2.284
406	906.000	12.449	13.609	2.147
407	907.000	11.283	13.651	2.066
408	908.000	13.603	13.671	2.028
409	909.000	14.979	13.416	2.570
410	910.000	17.257	12.987	3.172
411	911.000	15.793	12.607	3.638
412	912.000	15.887	12.204	3.854
413	913.000	11.618	11.765	4.031
414	914.000	13.488	11.388	4.038
415	915.000	11.214	11.070	4.098
416	916.000	13.314	10.726	4.171
417	917.000	13.555	10.415	4.058
418	918.000	10.747	10.128	4.089
419	919.000	10.185	10.081	4.068
420	920.000	10.294	10.119	4.084
421	921.000	5.659	9.958	4.020
422	922.000	3.973	9.685	3.894
423	923.000	4.036	9.368	3.561
424	924.000	5.442	9.048	3.310
425	925.000	4.967	8.824	3.003
426	926.000	6.800	8.743	2.951
427	927.000	6.514	8.546	2.781
428	928.000	5.752	8.479	2.733
429	929.000	8.123	8.282	2.541
430	930.000	6.258	8.026	2.298
431	931.000	11.293	7.951	2.235
432	932.000	12.223	7.885	2.191
433	933.000	9.583	7.722	2.156
434	934.000	8.153	7.636	2.280
435	935.000	9.329	7.662	2.240
436	936.000	7.796	7.686	2.202
437	937.000	10.277	7.634	2.271
438	938.000	9.612	7.590	2.336
439	939.000	8.553	7.441	2.500
440	940.000	9.534	7.282	2.682
441	941.000	8.387	7.107	2.919
442	942.000	7.165	6.834	3.132
443	943.000	8.859	6.617	3.353
444	944.000	8.552	6.242	3.332
445	945.000	6.200	5.983	3.091
446	946.000	3.519	5.834	2.998
447	947.000	4.623	5.738	2.959
448	948.000	4.644	5.551	2.869
449	949.000	4.140	5.392	2.849
450	950.000	3.858	5.213	2.664
451	951.000	3.091	5.086	2.518
452	952.000	2.533	4.948	2.412
453	953.000	1.368	4.773	2.216
454	954.000	1.289	4.647	2.088
455	955.000	0.835	4.593	2.037
456	956.000	1.934	4.406	1.834
457	957.000	5.737	4.195	1.629
458	958.000	5.861	4.038	1.617
459	959.000	5.752	4.035	1.618
460	960.000	4.648	3.972	1.625
461	961.000	3.820	3.989	1.635
462	962.000	5.806	3.964	1.638
463	963.000	6.440	3.952	1.640
464	964.000	5.115	4.039	1.650
465	965.000	5.150	4.168	1.653
466	966.000	5.247	4.350	1.581
467	967.000	5.814	4.462	1.449
468	968.000	4.176	4.513	1.333
469	969.000	3.278	4.655	1.232
470	970.000	2.258	4.645	1.224
471	971.000	3.456	4.496	1.295
472	972.000	3.039	4.431	1.270
473	973.000	5.090	4.388	1.281
474	974.000	3.496	4.324	1.347
475	975.000	3.571	4.242	1.316
476	976.000	5.258	4.114	1.247
477	977.000	5.748	4.052	1.233
478	978.000	5.925	3.924	1.280
479	979.000	4.096	3.733	1.422
480	980.000	2.115	3.581	1.394
481	981.000	5.488	3.467	1.458
482	982.000	5.487	3.466	1.458
483	983.000	2.129	3.380	1.591
484	984.000	4.123	3.340	1.602
485	985.000	3.563	3.276	1.646
486	986.000	2.240	3.094	1.687
487	987.000	3.743	3.057	1.688
488	988.000	3.246	3.011	1.689
489	989.000	3.574	2.882	1.633
490	990.000	1.945	2.818	1.545
491	991.000	0.476	2.734	1.421
492	992.000	1.999	2.687	1.394
493	993.000	1.328	2.722	1.390
494	994.000	3.259	2.571	1.277
495	995.000	0.095	2.467	1.127
496	996.000	2.461	2.523	1.145
497	997.000	1.434	2.486	1.105
498	998.000	0.553	2.427	1.084
499	999.000	2.559	2.456	1.088
500	1000.000	2.439	2.376	1.062
501	1001.000	2.012	2.326	1.049
502	1002.000	4.152	2.287	1.018
503	1003.000	3.837	2.276	1.024
504	1004.000	2.918	2.320	0.965
505	1005.000	3.001	2.373	0.982
506	1006.000	1.705	2.451	0.974
507	1007.000	2.884	2.363	0.997
508	1008.000	3.540	2.385	0.949
509	1009.000	3.188	2.368	0.952
510	1010.000	2.092	2.432	0.941
511	1011.000	2.949	2.517	0.856
512	1012.000	1.754	2.677	1.178
513	1013.000	2.002	2.817	1.345
514	1014.000	2.600	2.929	1.391
515	1015.000	1.669	2.893	1.369
516	1016.000	1.574	2.916	1.391
517	1017.000	3.311	2.962	1.410
518	1018.000	3.290	3.016	1.437
519	1019.000	1.061	3.109	1.424
520	1020.000	0.652	3.144	1.429
521	1021.000	2.015	3.206	1.480
522	1022.000	3.048	3.262	1.505
523	1023.000	2.669	3.276	1.496
524	1024.000	6.564	3.346	1.520
525	1025.000	5.940	3.523	1.584
526	1026.000	4.811	3.592	1.553
527	1027.000	3.243	3.589	1.555
528	1028.000	4.433	3.714	1.519
529	1029.000	4.061	3.913	1.553
530	1030.000	4.340	3.956	1.551
531	1031.000	4.042	4.041	1.571
532	1032.000	3.744	4.220	1.468
533	1033.000	5.106	4.407	1.281
534	1034.000	4.578	4.679	1.461
535	1035.000	2.442	4.768	1.425
536	1036.000	4.692	4.983	1.497
537	1037.000	6.193	5.069	1.646
538	1038.000	3.726	5.167	1.768
539	1039.000	2.519	5.223	1.779
540	1040.000	4.784	5.413	1.812
541	1041.000	6.556	5.573	1.897
542	1042.000	4.398	5.746	1.950
543	1043.000	5.409	5.930	2.027
544	1044.000	5.522	6.147	2.104
545	1045.000	5.341	6.369	2.133
546	1046.000	8.814	6.533	2.189
547	1047.000	5.280	6.651	2.159
548	1048.000	8.023	6.821	1.973
549	1049.000	8.718	6.852	1.944
550	1050.000	8.389	6.840	1.949
551	1051.000	6.222	7.029	1.862
552	1052.000	7.985	7.241	1.612
553	1053.000	8.449	7.318	1.534
554	1054.000	8.380	7.425	1.571
555	1055.000	8.938	7.519	1.448
556	1056.000	9.457	7.699	1.454
557	1057.000	9.297	7.885	1.461
558	1058.000	9.211	7.910	1.420
559	1059.000	7.518	7.964	1.480
560	1060.000	6.706	8.057	1.373
561	1061.000	5.462	8.072	1.375
562	1062.000	5.892	8.010	1.379
563	1063.000	8.462	7.970	1.382
564	1064.000	7.807	8.075	1.342
565	1065.000	6.706	8.100	1.347
566	1066.000	9.236	8.112	1.351
567	1067.000	6.756	8.273	1.599
568	1068.000	9.897	8.337	1.658
569	1069.000	10.166	8.435	1.794
570	1070.000	5.974	8.517	1.880
571	1071.000	10.161	8.554	1.903
572	1072.000	7.600	8.646	1.907
573	1073.000	8.401	8.844	1.954
574	1074.000	7.188	9.154	2.007
575	1075.000	7.390	9.297	1.889
576	1076.000	8.824	9.244	1.932
577	1077.000	8.618	9.204	1.973
578	1078.000	8.764	9.237	1.935
579	1079.000	12.385	9.023	2.214
580	1080.000	10.550	8.921	2.373
581	1081.000	11.902	8.781	2.416
582	1082.000	11.357	8.618	2.457
583	1083.000	10.128	8.615	2.460
584	1084.000	9.817	8.425	2.518
585	1085.000	11.663	8.412	2.523
586	1086.000	13.193	8.223	2.696
587	1087.000	9.478	8.022	2.951
588	1088.000	7.130	7.813	3.174
589	1089.000	6.808	7.593	3.289
590	1090.000	7.549	7.441	3.328
591	1091.000	3.864	7.351	3.321
592	1092.000	4.227	7.049	3.185
593	1093.000	6.394	6.875	3.104
594	1094.000	6.076	6.563	2.966
595	1095.000	5.904	6.338	2.795
596	1096.000	5.419	6.229	2.693
597	1097.000	7.272	6.165	2.622
598	1098.000	3.669	6.085	2.474
599	1099.000	2.169	5.832	1.993
600	1100.000	2.168	5.760	1.886
601	1101.000	3.332	5.763	1.889
602	1102.000	4.798	5.674	1.890
603	1103.000	6.528	5.648	1.867
604	1104.000	4.817	5.743	1.833
605	1105.000	6.204	5.933	1.914
606	1106.000	4.115	5.917	1.912
607	1107.000	5.725	6.040	2.018
608	1108.000	7.403	6.175	2.119
609	1109.000	8.215	6.317	2.183
610	1110.000	9.671	6.439	2.320
611	1111.000	6.858	6.573	2.249
612	1112.000	7.688	6.849	2.105
613	1113.000	7.214	7.127	1.910
614	1114.000	4.579	7.382	1.806
615	1115.000	6.888	7.492	1.723
616	1116.000	6.239	7.553	1.715
617	1117.000	8.989	7.668	1.617
618	1118.000	5.999	7.669	1.616
619	1119.000	9.150	7.743	1.484
620	1120.000	9.275	7.790	1.435
621	1121.000	8.954	7.860	1.458
622	1122.000	10.319	7.920	1.503
623	1123.000	7.033	7.976	1.595
624	1124.000	9.069	8.134	1.673
625	1125.000	9.103	8.242	1.729
626	1126.000	9.721	8.330	1.731
627	1127.000	7.549	8.492	1.544
628	1128.000	8.057	8.609	1.528
629	1129.000	7.684	8.781	1.493
630	1130.000	6.235	8.769	1.492
631	1131.000	5.950	8.882	1.376
632	1132.000	6.911	8.832	1.389
633	1133.000	9.159	8.812	1.386
634	1134.000	9.705	8.823	1.388
635	1135.000	11.080	8.762	1.353
636	1136.000	10.809	8.795	1.319
637	1137.000	10.377	8.723	1.351
638	1138.000	9.415	8.713	1.349
639	1139.000	8.639	8.626	1.352
640	1140.000	9.796	8.602	1.376
641	1141.000	10.556	8.584	1.387
642	1142.000	8.689	8.467	1.577
643	1143.000	8.824	8.512	1.526
644	1144.000	7.882	8.521	1.510
645	1145.000	8.785	8.441	1.647
646	1146.000	9.230	8.280	1.766
647	1147.000	8.792	8.165	1.763
648	1148.000	7.847	7.981	1.684
649	1149.000	7.280	7.841	1.581
650	1150.000	8.847	7.802	1.527
651	1151.000	7.551	7.748	1.491
652	1152.000	6.953	7.665	1.497
653	1153.000	7.609	7.576	1.430
654	1154.000	4.751	7.367	1.356
655	1155.000	7.355	7.173	1.498
656	1156.000	6.189	7.097	1.459
657	1157.000	4.897	7.009	1.476
658	1158.000	5.139	6.937	1.429
659	1159.000	6.838	6.884	1.364
660	1160.000	6.484	6.847	1.321
661	1161.000	7.309	6.788	1.307
662	1162.000	9.389	6.790	1.308
663	1163.000	8.073	6.730	1.243
664	1164.000	6.568	6.770	1.286
665	1165.000	7.573	6.912	1.488
666	1166.000	5.330	6.939	1.507
667	1167.000	3.842	7.080	1.457
668	1168.000	6.913	7.053	1.458
669	1169.000	5.670	7.117	1.454
670	1170.000	6.999	7.214	1.378
671	1171.000	7.912	7.306	1.309
672	1172.000	7.853	7.271	1.333
673	1173.000	6.374	7.309	1.324
674	1174.000	7.341	7.329	1.327
675	1175.000	7.331	7.263	1.260
676	1176.000	8.557	7.280	1.274
677	1177.000	10.507	7.307	1.265
678	1178.000	8.285	7.230	1.306
679	1179.000	8.265	7.359	1.269
680	1180.000	6.688	7.513	1.037
681	1181.000	7.782	7.587	1.058
682	1182.000	7.325	7.642	0.987
683	1183.000	7.433	7.697	0.988
684	1184.000	5.964	7.684	0.987
685	1185.000	7.445	7.690	0.989
686	1186.000	7.794	7.742	0.950
687	1187.000	7.759	7.878	1.119
688	1188.000	8.487	7.883	1.116
689	1189.000	7.250	7.914	1.146
690	1190.000	5.650	7.767	1.030
691	1191.000	8.544	7.633	1.169
692	1192.000	7.706	7.636	1.170
693	1193.000	8.754	7.657	1.157
694	1194.000	7.054	7.701	1.182
695	1195.000	8.375	7.653	1.221
696	1196.000	7.583	7.499	1.468
697	1197.000	8.005	7.492	1.476
698	1198.000	7.668	7.464	1.484
