	time (ns)	angle (degree)	average angle	angle standard deviation
377	877.000	13.215	11.388	1.782
378	878.000	11.314	11.302	1.818
379	879.000	9.802	11.372	1.876
380	880.000	12.566	11.468	1.844
381	881.000	12.147	11.640	1.788
382	882.000	11.334	11.700	1.725
383	883.000	13.489	11.829	1.555
384	884.000	14.142	11.858	1.488
385	885.000	14.141	11.667	1.703
386	886.000	12.483	11.583	1.836
387	887.000	11.998	11.501	1.948
388	888.000	12.212	11.405	1.968
389	889.000	10.428	11.294	1.939
390	890.000	9.553	11.152	1.922
391	891.000	13.677	11.109	1.930
392	892.000	12.032	11.151	1.912
393	893.000	13.126	10.987	1.962
394	894.000	10.666	10.845	2.002
395	895.000	11.303	10.726	2.059
396	896.000	8.830	10.542	2.007
397	897.000	7.644	10.247	1.997
398	898.000	7.870	10.036	1.841
399	899.000	8.044	9.826	1.851
400	900.000	9.875	9.581	1.953
401	901.000	10.451	9.339	1.989
402	902.000	9.669	9.154	2.094
403	903.000	10.235	9.097	2.102
404	904.000	10.871	8.877	1.879
405	905.000	8.447	8.822	1.803
406	906.000	8.614	8.841	1.851
407	907.000	8.356	8.873	1.891
408	908.000	8.890	8.843	1.856
409	909.000	6.770	8.892	1.872
410	910.000	8.860	8.900	1.867
411	911.000	7.222	8.999	1.875
412	912.000	5.886	9.166	1.970
413	913.000	6.145	9.242	2.034
414	914.000	5.822	9.272	2.058
415	915.000	8.128	9.385	2.157
416	916.000	8.155	9.418	2.176
417	917.000	10.678	9.512	2.289
418	918.000	13.597	9.644	2.320
419	919.000	11.468	9.776	2.353
420	920.000	10.536	9.832	2.335
421	921.000	10.066	10.020	2.444
422	922.000	7.840	10.243	2.389
423	923.000	10.343	10.365	2.393
424	924.000	12.219	10.658	2.439
425	925.000	11.774	10.905	2.241
426	926.000	11.208	11.189	2.054
427	927.000	12.501	11.426	1.725
428	928.000	11.044	11.642	1.630
429	929.000	13.222	11.857	1.500
430	930.000	11.748	11.936	1.487
431	931.000	11.926	11.832	1.457
432	932.000	9.739	11.854	1.455
433	933.000	13.613	12.001	1.500
434	934.000	12.339	12.164	1.503
435	935.000	11.911	12.347	1.203
436	936.000	14.537	12.459	1.137
437	937.000	12.067	12.537	1.185
438	938.000	13.237	12.584	1.177
439	939.000	11.756	12.614	1.150
440	940.000	13.525	12.547	1.204
441	941.000	13.528	12.539	1.215
442	942.000	12.653	12.358	1.427
443	943.000	11.001	12.276	1.520
444	944.000	12.023	12.197	1.589
445	945.000	14.195	12.077	1.870
446	946.000	14.143	11.824	2.070
447	947.000	12.421	11.582	2.345
448	948.000	13.157	11.412	2.469
449	949.000	14.156	11.130	2.500
450	950.000	12.945	11.053	2.499
451	951.000	11.967	10.923	2.466
452	952.000	10.833	10.858	2.464
453	953.000	10.842	10.683	2.422
454	954.000	8.697	10.502	2.369
455	955.000	9.698	10.429	2.328
456	956.000	9.935	10.403	2.325
457	957.000	6.746	10.277	2.318
458	958.000	7.297	10.126	2.170
459	959.000	6.270	9.907	2.019
460	960.000	7.682	9.861	1.972
461	961.000	7.488	9.647	1.889
462	962.000	10.137	9.471	1.640
463	963.000	9.970	9.383	1.498
464	964.000	10.137	9.344	1.439
465	965.000	9.158	9.357	1.455
466	966.000	8.996	9.350	1.448
467	967.000	10.841	9.247	1.580
468	968.000	10.338	9.186	1.592
469	969.000	8.888	9.139	1.586
470	970.000	10.402	9.204	1.516
471	971.000	8.674	9.163	1.581
472	972.000	11.280	9.176	1.558
473	973.000	7.794	9.145	1.596
474	974.000	9.772	9.091	1.675
475	975.000	10.738	8.994	1.682
476	976.000	10.974	8.839	1.766
477	977.000	11.170	8.731	1.765
478	978.000	10.657	8.730	1.765
479	979.000	6.136	8.759	1.776
480	980.000	8.162	8.606	1.754
481	981.000	8.762	8.434	1.788
